name,region,subregion,population,area,pop_density,density_bin
Serbia,Europe,Southeast Europe,6567783,77589.0,84.64837799172562,Medium
Slovakia,Europe,Central Europe,5413813,49037.0,110.40261435242776,Medium
Estonia,Europe,Northern Europe,1369995,45227.0,30.291529396157163,Very Low
Gibraltar,Europe,Southern Europe,38000,6.0,6333.333333333333,Very High
Ireland,Europe,Northern Europe,5458600,70273.0,77.6770594680745,Low
Belgium,Europe,Western Europe,11825551,30528.0,387.3673676624738,Very High
Kosovo,Europe,Southeast Europe,1585566,10908.0,145.35808580858085,High
Ukraine,Europe,Eastern Europe,32862000,603550.0,54.44785021953442,Low
Netherlands,Europe,Western Europe,18100436,41865.0,432.35246626059956,Very High
Moldova,Europe,Eastern Europe,2749076,33847.0,81.22066948326292,Medium
Liechtenstein,Europe,Western Europe,40900,160.0,255.625,High
Montenegro,Europe,Southeast Europe,623327,13812.0,45.12938024905879,Low
France,Europe,Western Europe,66351959,543908.0,121.99114372283547,Medium
Czechia,Europe,Central Europe,10882341,78865.0,137.98695238699042,High
Belarus,Europe,Eastern Europe,9109280,207600.0,43.87899807321773,Very Low
Albania,Europe,Southeast Europe,2363314,28748.0,82.20794490051482,Medium
Slovenia,Europe,Central Europe,2130638,20273.0,105.0973215606965,Medium
Jersey,Europe,Northern Europe,103267,116.0,890.2327586206897,Very High
North Macedonia,Europe,Southeast Europe,1822612,25713.0,70.88289970054058,Low
Guernsey,Europe,Northern Europe,64781,78.0,830.525641025641,Very High
Romania,Europe,Southeast Europe,19036031,238391.0,79.8521378743325,Low
Hungary,Europe,Central Europe,9539502,93028.0,102.54441673474653,Medium
Åland Islands,Europe,Northern Europe,30654,1580.0,19.40126582278481,Very Low
Germany,Europe,Western Europe,83491249,357114.0,233.79438778653315,High
Denmark,Europe,Northern Europe,6011488,43094.0,139.49709936418063,High
Iceland,Europe,Northern Europe,391810,103000.0,3.8039805825242716,Very Low
Poland,Europe,Central Europe,37392000,312679.0,119.58590119579505,Medium
Faroe Islands,Europe,Northern Europe,54885,1393.0,39.40057430007179,Very Low
United Kingdom,Europe,Northern Europe,69281437,244376.0,283.50344141814253,Very High
Vatican City,Europe,Southern Europe,882,0.49,1800.0,Very High
San Marino,Europe,Southern Europe,34132,61.0,559.5409836065573,Very High
Cyprus,Europe,Southern Europe,1442614,9251.0,155.94141173927142,High
Malta,Europe,Southern Europe,574250,316.0,1817.246835443038,Very High
Sweden,Europe,Northern Europe,10605098,450295.0,23.551445163726,Very Low
Austria,Europe,Central Europe,9200931,83871.0,109.70336588332081,Medium
Croatia,Europe,Southeast Europe,3866233,56594.0,68.31524543237799,Low
Spain,Europe,Southern Europe,49315949,505992.0,97.46389073345033,Medium
Switzerland,Europe,Western Europe,9082848,41284.0,220.00891386493558,High
Norway,Europe,Northern Europe,5606944,386224.0,14.517337089357472,Very Low
Luxembourg,Europe,Western Europe,681973,2586.0,263.71732405259087,Very High
Svalbard and Jan Mayen,Europe,Northern Europe,2530,61399.0,0.041205882831967945,Very Low
Italy,Europe,Southern Europe,58927633,301336.0,195.55457363209175,High
Andorra,Europe,Southern Europe,88406,468.0,188.9017094017094,High
Isle of Man,Europe,Northern Europe,84530,572.0,147.77972027972027,High
Latvia,Europe,Northern Europe,1829000,64559.0,28.33067426694961,Very Low
Portugal,Europe,Southern Europe,10749635,92090.0,116.72966663047019,Medium
Finland,Europe,Northern Europe,5650325,338455.0,16.69446455215612,Very Low
Monaco,Europe,Western Europe,38423,2.02,19021.287128712873,Very High
Russia,Europe,Eastern Europe,146028325,17098246.0,8.540544158740024,Very Low
Bulgaria,Europe,Southeast Europe,6437360,110879.0,58.05752216380018,Low
Lithuania,Europe,Northern Europe,2894886,65300.0,44.332098009188364,Low
Bosnia and Herzegovina,Europe,Southeast Europe,3422000,51209.0,66.8241910601652,Low
Greece,Europe,Southern Europe,10400720,131990.0,78.7993029774983,Low
